Statute,Document Link,state
Section 460.1083,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1083&highlight=energy&queryID=170095218,Michigan
Section 257.929,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-257-929&highlight=energy&queryID=170095218,Michigan
Section 460.9r,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-9r&highlight=energy&queryID=170095218,Michigan
Section 408.208,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-408-208&highlight=energy&queryID=170095218,Michigan
Section 211.78m,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-211-78m&highlight=energy&queryID=170095218,Michigan
Section 324.19112,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-19112&highlight=energy&queryID=170095218,Michigan
Section 324.62102,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-62102&highlight=energy&queryID=170095218,Michigan
Section 3.817,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-3-817&highlight=energy&queryID=170095218,Michigan
Section 324.5301,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-5301&highlight=energy&queryID=170095218,Michigan
Section 324.36104e,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-36104e&highlight=energy&queryID=170095218,Michigan
Section 400.1207,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-400-1207&highlight=energy&queryID=170095218,Michigan
Section 333.13506,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-333-13506&highlight=energy&queryID=170095218,Michigan
Section 12.194,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-12-194&highlight=energy&queryID=170095218,Michigan
295-2008-4.,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-295-2008-4.&highlight=energy&queryID=170095218,Michigan
Section 389.122a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-389-122a&highlight=energy&queryID=170095218,Michigan
Section 290.649a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-290-649a&highlight=energy&queryID=170095218,Michigan
Section 324.99923,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-99923&highlight=energy&queryID=170095218,Michigan
Section 560.173,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-560-173&highlight=energy&queryID=170095218,Michigan
Section 290.649k,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-290-649k&highlight=energy&queryID=170095218,Michigan
Section 484.3331,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-484-3331&highlight=energy&queryID=170095218,Michigan
Section 125.4411b,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-4411b&highlight=energy&queryID=170095218,Michigan
Section 460.945,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-945&highlight=energy&queryID=170095218,Michigan
Section 38.2803,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-38-2803&highlight=energy&queryID=170095218,Michigan
Section 460.969,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-969&highlight=energy&queryID=170095218,Michigan
Section 333.17951,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-333-17951&highlight=energy&queryID=170095218,Michigan
Section 18.1720,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-18-1720&highlight=energy&queryID=170095218,Michigan
Section 324.61701,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-61701&highlight=energy&queryID=170095218,Michigan
Section 484.2401,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-484-2401&highlight=energy&queryID=170095218,Michigan
Section 451.2102,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-451-2102&highlight=energy&queryID=170095218,Michigan
Section 206.262,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-206-262&highlight=energy&queryID=170095218,Michigan
Section 324.5501,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-5501&highlight=energy&queryID=170095218,Michigan
Section 338.3723,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-338-3723&highlight=energy&queryID=170095218,Michigan
Section 78.24b,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-78-24b&highlight=energy&queryID=170095218,Michigan
Section 339.5705,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-339-5705&highlight=energy&queryID=170095218,Michigan
Section 207.564,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-207-564&highlight=energy&queryID=170095218,Michigan
Section 208.1430,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-208-1430&highlight=energy&queryID=170095218,Michigan
Act 3 of 1939,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-3-of-1939&highlight=energy&queryID=170095218,Michigan
Section 125.3203,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-3203&highlight=energy&queryID=170095218,Michigan
Section 287.714,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-287-714&highlight=energy&queryID=170095218,Michigan
Section 324.16704,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-16704&highlight=energy&queryID=170095218,Michigan
Section 460.1025,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1025&highlight=energy&queryID=170095218,Michigan
Section 460.1209,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1209&highlight=energy&queryID=170095218,Michigan
Section 560.257,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-560-257&highlight=energy&queryID=170095218,Michigan
Section 460.6w,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-6w&highlight=energy&queryID=170095218,Michigan
Section 205.54ee,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-205-54ee&highlight=energy&queryID=170095218,Michigan
Section 460.1097,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1097&highlight=energy&queryID=170095218,Michigan
Section 380.1903,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-380-1903&highlight=energy&queryID=170095218,Michigan
Section 324.11503,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-11503&highlight=energy&queryID=170095218,Michigan
Section 460.824,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-824&highlight=energy&queryID=170095218,Michigan
Section 333.7111,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-333-7111&highlight=energy&queryID=170095218,Michigan
Section 333.26220,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-333-26220&highlight=energy&queryID=170095218,Michigan
Section 125.2088t,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-2088t&highlight=energy&queryID=170095218,Michigan
Section 141.891a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-141-891a&highlight=energy&queryID=170095218,Michigan
Act 278 of 1977,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-278-of-1977&highlight=energy&queryID=170095218,Michigan
Section 324.14701,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-14701&highlight=energy&queryID=170095218,Michigan
Section 750.43a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-750-43a&highlight=energy&queryID=170095218,Michigan
Section 259.788,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-259-788&highlight=energy&queryID=170095218,Michigan
Section 722.110,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-722-110&highlight=energy&queryID=170095218,Michigan
Section 125.4412c,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-4412c&highlight=energy&queryID=170095218,Michigan
Section 460.836a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-836a&highlight=energy&queryID=170095218,Michigan
Section 10.83,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-10-83&highlight=energy&queryID=170095218,Michigan
Section 339.5805,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-339-5805&highlight=energy&queryID=170095218,Michigan
Section 460.1087,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1087&highlight=energy&queryID=170095218,Michigan
Section 400.1233,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-400-1233&highlight=energy&queryID=170095218,Michigan
Act 68 of 2024,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-68-of-2024&highlight=energy&queryID=170095218,Michigan
Section 460.6l,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-6l&highlight=energy&queryID=170095218,Michigan
Section 460.9t,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-9t&highlight=energy&queryID=170095218,Michigan
Section 211.1160,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-211-1160&highlight=energy&queryID=170095218,Michigan
Section 205.54h,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-205-54h&highlight=energy&queryID=170095218,Michigan
Section 125.2688a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-2688a&highlight=energy&queryID=170095218,Michigan
Section 324.14512,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-14512&highlight=energy&queryID=170095218,Michigan
Section 460.6s,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-6s&highlight=energy&queryID=170095218,Michigan
Section 18.1254,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-18-1254&highlight=energy&queryID=170095218,Michigan
Section 484.2102,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-484-2102&highlight=energy&queryID=170095218,Michigan
Section 408.915,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-408-915&highlight=energy&queryID=170095218,Michigan
Section 24.265,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-24-265&highlight=energy&queryID=170095218,Michigan
Section 460.1079,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1079&highlight=energy&queryID=170095218,Michigan
Section 460.1007,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1007&highlight=energy&queryID=170095218,Michigan
Section 324.99921,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-99921&highlight=energy&queryID=170095218,Michigan
Section 2.101,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-2-101&highlight=energy&queryID=170095218,Michigan
Act 625 of 2012,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-625-of-2012&highlight=energy&queryID=170095218,Michigan
Section 324.19108,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-324-19108&highlight=energy&queryID=170095218,Michigan
Section 460.10hh,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-10hh&highlight=energy&queryID=170095218,Michigan
Section 460.1028,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1028&highlight=energy&queryID=170095218,Michigan
Section 460.1032,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1032&highlight=energy&queryID=170095218,Michigan
Act 270 of 2010,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-270-of-2010&highlight=energy&queryID=170095218,Michigan
Section 460.941,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-941&highlight=energy&queryID=170095218,Michigan
Section 460.1043,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1043&highlight=energy&queryID=170095218,Michigan
Section 493.51,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-493-51&highlight=energy&queryID=170095218,Michigan
Section 333.17957,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-333-17957&highlight=energy&queryID=170095218,Michigan
Section 460.1039,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1039&highlight=energy&queryID=170095218,Michigan
Section 445.2011,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-445-2011&highlight=energy&queryID=170095218,Michigan
Section 460.1071,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1071&highlight=energy&queryID=170095218,Michigan
Section 460.1075,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1075&highlight=energy&queryID=170095218,Michigan
Section 460.1207,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1207&highlight=energy&queryID=170095218,Michigan
Section 257.320a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-257-320a&highlight=energy&queryID=170095218,Michigan
Section 560.151,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-560-151&highlight=energy&queryID=170095218,Michigan
Act 297 of 2010,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-Act-297-of-2010&highlight=energy&queryID=170095218,Michigan
Section 207.822,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-207-822&highlight=energy&queryID=170095218,Michigan
Section 460.22,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-22&highlight=energy&queryID=170095218,Michigan
Section 21.272,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-21-272&highlight=energy&queryID=170095218,Michigan
Section 125.1603,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-1603&highlight=energy&queryID=170095218,Michigan
Section 400.1234a,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-400-1234a&highlight=energy&queryID=170095218,Michigan
Section 460.1051,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-1051&highlight=energy&queryID=170095218,Michigan
Section 400.1215,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-400-1215&highlight=energy&queryID=170095218,Michigan
Section 400.1236,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-400-1236&highlight=energy&queryID=170095218,Michigan
Section 257.1813,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-257-1813&highlight=energy&queryID=170095218,Michigan
Section 18.304,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-18-304&highlight=energy&queryID=170095218,Michigan
Section 21.603,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-21-603&highlight=energy&queryID=170095218,Michigan
Section 37.123,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-37-123&highlight=energy&queryID=170095218,Michigan
Section 125.1513f,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-125-1513f&highlight=energy&queryID=170095218,Michigan
Section 460.10g,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-460-10g&highlight=energy&queryID=170095218,Michigan
Section 211.8,https://www.legislature.mi.gov/Home/GetObject?objectName=mcl-211-8&highlight=energy&queryID=170095218,Michigan
